[INFO] 13:19:16:353 CPU/(29189:29190): Instruccion: ESCRIBIR, Proceso: 2, CPU: 0, exito: Exito 
[INFO] 13:19:21:353 CPU/(29189:29190): Instruccion: QUANTUM, Proceso: 2, CPU: 0, exito: 1 
[INFO] 13:19:23:364 CPU/(29189:29190): Instruccion: ESCRIBIR, Proceso: 3, CPU: 0, exito: Exito 
[INFO] 13:19:28:365 CPU/(29189:29190): Instruccion: QUANTUM, Proceso: 3, CPU: 0, exito: 1 
[INFO] 13:19:30:376 CPU/(29189:29190): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:19:35:376 CPU/(29189:29190): Instruccion: QUANTUM, Proceso: 1, CPU: 0, exito: 1 
[INFO] 13:19:37:385 CPU/(29189:29190): Instruccion: ESCRIBIR, Proceso: 2, CPU: 0, exito: Exito 
[INFO] 13:19:42:386 CPU/(29189:29190): Instruccion: QUANTUM, Proceso: 2, CPU: 0, exito: 1 
[INFO] 13:22:28:169 CPU/(29281:29282): CPU conectada al Planificador, idCpu: 0
[INFO] 13:22:28:192 CPU/(29281:29282): CPU conectada a Memoria, idCpu: 0
[INFO] 13:22:35:347 CPU/(29281:29282): Instruccion: INICIAR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:22:40:468 CPU/(29281:29282): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:22:45:479 CPU/(29281:29282): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:22:50:485 CPU/(29281:29282): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:22:55:488 CPU/(29281:29282): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:23:00:494 CPU/(29281:29282): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:23:05:499 CPU/(29281:29282): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:23:10:524 CPU/(29281:29282): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:23:15:526 CPU/(29281:29282): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:23:20:535 CPU/(29281:29282): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:23:25:542 CPU/(29281:29282): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:23:30:548 CPU/(29281:29282): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:23:35:554 CPU/(29281:29282): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:23:40:556 CPU/(29281:29282): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:23:45:558 CPU/(29281:29282): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:23:50:562 CPU/(29281:29282): Instruccion: I/O, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:24:12:573 CPU/(29281:29282): Instruccion: FINALIZAR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:27:56:668 CPU/(29527:29528): CPU conectada al Planificador, idCpu: 0
[INFO] 13:27:56:690 CPU/(29527:29528): CPU conectada a Memoria, idCpu: 0
[INFO] 13:28:04:864 CPU/(29527:29528): Instruccion: INICIAR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:28:09:950 CPU/(29527:29528): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:28:14:961 CPU/(29527:29528): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:28:19:968 CPU/(29527:29528): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:28:24:971 CPU/(29527:29528): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:28:29:975 CPU/(29527:29528): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:28:34:978 CPU/(29527:29528): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:28:39:1 CPU/(29527:29528): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:28:45:6 CPU/(29527:29528): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:28:50:12 CPU/(29527:29528): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:28:55:16 CPU/(29527:29528): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:29:00:21 CPU/(29527:29528): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:29:05:25 CPU/(29527:29528): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:29:10:27 CPU/(29527:29528): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:29:15:29 CPU/(29527:29528): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:29:20:35 CPU/(29527:29528): Instruccion: I/O, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:29:42:47 CPU/(29527:29528): Instruccion: FINALIZAR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:46:28:659 CPU/(29726:29727): CPU conectada al Planificador, idCpu: 0
[INFO] 13:46:28:682 CPU/(29726:29727): CPU conectada a Memoria, idCpu: 0
[INFO] 13:46:36:204 CPU/(29726:29727): Instruccion: INICIAR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:46:41:289 CPU/(29726:29727): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:46:46:301 CPU/(29726:29727): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:46:51:307 CPU/(29726:29727): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:46:56:309 CPU/(29726:29727): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:47:01:315 CPU/(29726:29727): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:47:06:320 CPU/(29726:29727): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:47:11:333 CPU/(29726:29727): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:47:16:336 CPU/(29726:29727): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:47:21:340 CPU/(29726:29727): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:47:26:344 CPU/(29726:29727): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:47:31:348 CPU/(29726:29727): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:47:36:352 CPU/(29726:29727): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:47:41:354 CPU/(29726:29727): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:47:46:356 CPU/(29726:29727): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:47:51:360 CPU/(29726:29727): Instruccion: I/O, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 13:48:13:373 CPU/(29726:29727): Instruccion: FINALIZAR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 14:06:40:948 CPU/(30228:30229): CPU conectada al Planificador, idCpu: 0
[INFO] 14:06:40:972 CPU/(30228:30229): CPU conectada a Memoria, idCpu: 0
[INFO] 14:06:49:52 CPU/(30228:30229): Instruccion: INICIAR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 14:06:54:157 CPU/(30228:30229): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 14:06:59:167 CPU/(30228:30229): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 14:07:04:175 CPU/(30228:30229): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 14:07:09:177 CPU/(30228:30229): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 14:07:14:181 CPU/(30228:30229): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 14:07:19:184 CPU/(30228:30229): Instruccion: LEER, Proceso: 1, CPU: 0, exito: Exito 
[INFO] 14:07:24:207 CPU/(30228:30229): Instruccion: ESCRIBIR, Proceso: 1, CPU: 0, exito: Exito 
